store_uid,uuid,short_name,store_name,store_desc,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude,rand_uuid
92626_e86fbc3b_containerstore_costa_mesa,e86fbc3b,containerstore,Container Store,Costa Mesa,901-G South Coast Drive,,Costa Mesa,CA,92626,"901-G South Coast Drive Costa Mesa, CA 92626",33.6889044,-117.8929081,58881bec
91103_e53b85f3_containerstore_pasadena,e53b85f3,containerstore,Container Store,Pasadena,One East Union Street,,Pasadena,CA,91103,"One East Union Street Pasadena, CA 91103",34.1467959,-118.1476647,e002ffdf
90036_440e9988_containerstore_los_angeles,440e9988,containerstore,Container Store,Los Angeles,110 S. Fairfax Ave.,A-17,Los Angeles,CA,90036,"110 S. Fairfax Ave. Los Angeles, CA 90036",34.0736848,-118.3608362,9adff025
90245_cc708c54_containerstore_el_segundo,cc708c54,containerstore,Container Store,El Segundo,710 S Pacific Coast Hwy,,El Segundo,CA,90245,"710 S Pacific Coast Hwy El Segundo, CA 90245",33.8299711,-118.3848356,045df20f
90067_9d2ac09c_containerstore_los_angeles,9d2ac09c,containerstore,Container Store,Los Angeles,10250 Santa Monica Blvd.,Suite 218,Los Angeles,CA,90067,"10250 Santa Monica Blvd. Los Angeles, CA 90067",34.0590031,-118.418866,7bd0917b
93036_5bf4b554_containerstore_oxnard,5bf4b554,containerstore,Container Store,Oxnard,450 Town Center Drive,,Oxnard,CA,93036,"450 Town Center Drive Oxnard, CA 93036",34.2385178,-119.1767673,06d4ca2e
95825_7f9ae68b_containerstore_sacramento,7f9ae68b,containerstore,Container Store,Sacramento,2030 Arden Way,,Sacramento,CA,95825,"2030 Arden Way Sacramento, CA 95825",38.5957421,-121.4182069,277e29f9
95128_ed5595db_containerstore_san_jose,ed5595db,containerstore,Container Store,San Jose,3080 Stevens Creek Blvd.,Suite 1000,San Jose,CA,95128,"3080 Stevens Creek Blvd. San Jose, CA 95128",37.3231355,-121.9490732,1ae1528a
94596_961f8c3c_containerstore_walnut_creek,961f8c3c,containerstore,Container Store,Walnut Creek,1100 Locust Street,,Walnut Creek,CA,94596,"1100 Locust Street Walnut Creek, CA 94596",37.8952236,-122.0605735,001fbaeb
94304_ca21ec52_containerstore_palo_alto,ca21ec52,containerstore,Container Store,Palo Alto,500 Stanford Shopping Center,,Palo Alto,CA,94304,"500 Stanford Shopping Center Palo Alto, CA 94304",37.4388322,-122.1726498,e4314d90
98004_3dee3d82_containerstore_bellevue,3dee3d82,containerstore,Container Store,Bellevue,700 Bellevue Way N.E.,Suite 120,Bellevue,WA,98004,"700 Bellevue Way N.E. Bellevue, WA 98004",47.6172049,-122.2013418,64ba05c6
98188_e1c97989_containerstore_tukwila,e1c97989,containerstore,Container Store,Tukwila,2437 Southcenter Mall,,Tukwila,WA,98188,"2437 Southcenter Mall Tukwila, WA 98188",47.4588849,-122.257964,8fecc902
94103_10a5081e_containerstore_san_francisco,10a5081e,containerstore,Container Store,San Francisco,26 Fourth Street,,San Francisco,CA,94103,"26 Fourth Street San Francisco, CA 94103",37.7846195,-122.4055789,f3c944fd
94925_785c7182_containerstore_corte_madera,785c7182,containerstore,Container Store,Corte Madera,219 Corte Madera Town Center,,Corte Madera,CA,94925,"219 Corte Madera Town Center Corte Madera, CA 94925",37.9285403,-122.5170309,2f125d2a
97224_a5d84fdd_containerstore_tigard,a5d84fdd,containerstore,Container Store,Tigard,7417 SW Bridgeport Road,,Tigard,OR,97224,"7417 SW Bridgeport Road Tigard, OR 97224",45.3957385,-122.7536101,330e7a23
02072_95b6301d_ikea_stoughton,95b6301d,ikea,IKEA,Stoughton,One IKEA Way,,Stoughton,MA,02072,"One IKEA Way Stoughton, MA 02072",42.1371268,-71.0684562,8835bb43
06511_55f8f7f1_ikea_new_haven,55f8f7f1,ikea,IKEA,New Haven,450 Sargent Drive,,New Haven,CT,06511,"450 Sargent Drive New Haven, CT 06511",41.2958017,-72.9200335,5dbd53d2
11801_c8dcfd18_ikea_long_island,c8dcfd18,ikea,IKEA,Long Island,1100 Broadway Mall,,Hicksville,NY,11801,"1100 Broadway Mall Hicksville, NY 11801",40.7748383,-73.5310569,84cf2c6b
11374_0f783fe4_ikea_queens,0f783fe4,ikea,IKEA,Queens,96-05 Queens Blvd,,Queens,NY,11374,"96-05 Queens Blvd Queens, NY 11374",40.731424,-73.8618461,8293f0b6
11231_ef6e863d_ikea_brooklyn,ef6e863d,ikea,IKEA,Brooklyn,1 Beard Street,,Brooklyn,NY,11231,"1 Beard Street Brooklyn, NY 11231",40.672219,-74.0115416,2010e7b4
07652_31cd4c48_ikea_paramus,31cd4c48,ikea,IKEA,Paramus,100 IKEA Drive,,Paramus,NJ,07652,"100 IKEA Drive Paramus, NJ 07652",40.9245349,-74.0732861,54360084
07201_ee8cbff0_ikea_elizabeth,ee8cbff0,ikea,IKEA,Elizabeth,1000 Center Drive,,Elizabeth,NJ,07201,"1000 Center Drive Elizabeth, NJ 07201",40.6751301,-74.1697393,2d21619f
19148_69482fa0_ikea_south_philadelphia,69482fa0,ikea,IKEA,South Philadelphia,2206 S. Christopher Columbus Blvd,,Philadelphia,PA,19148,"2206 S. Christopher Columbus Blvd Philadelphia, PA 19148",39.9171256,-75.1417686,1bb90c9e
19428_01f275e2_ikea_conshohocken,01f275e2,ikea,IKEA,Conshohocken,400 Alan Wood Road,,Conshohocken,PA,19428,"400 Alan Wood Road Conshohocken, PA 19428",40.0943896,-75.3067793,a6e7fc32
23502_4377cca2_ikea_norfolk,4377cca2,ikea,IKEA,Norfolk,1500 IKEA Way,,Norfolk,VA,23502,"1500 IKEA Way Norfolk, VA 23502",36.8760812,-76.2013761,27e7e501
21236_594af003_ikea_baltimore,594af003,ikea,IKEA,Baltimore,8352 Honeygo Boulevard,,Baltimore,MD,21236,"8352 Honeygo Boulevard Baltimore, MD 21236",39.3753517,-76.4619125,668bb59b
20740_28adb344_ikea_college_park,28adb344,ikea,IKEA,College Park,10100 Baltimore Avenue,,College Park,MD,20740,"10100 Baltimore Avenue College Park, MD 20740",39.0206756,-76.928835,279f7dca
22192_6404768a_ikea_woodbridge,6404768a,ikea,IKEA,Woodbridge,2900 Potomac Mills Circle,,Woodbridge,VA,22192,"2900 Potomac Mills Circle Woodbridge, VA 22192",38.6450421,-77.2898272,dd99c065
15205_19c3b0a3_ikea_pittsburgh,19c3b0a3,ikea,IKEA,Pittsburgh,2001 Park Manor Boulevard,,Pittsburgh,PA,15205,"2001 Park Manor Boulevard Pittsburgh, PA 15205",40.4517367,-80.1681502,eb07b8c6
33325_8e0e59ee_ikea_sunrise,8e0e59ee,ikea,IKEA,Sunrise,151 NW 136th Ave,,Sunrise,FL,33325,"151 NW 136th Ave Sunrise, FL 33325",26.122275,-80.33035,afc42414
33172_18630354_ikea_miami,18630354,ikea,IKEA,Miami,1801 NW 117th Ave,,Sweetwater,FL,33172,"1801 NW 117th Ave Sweetwater, FL 33172",25.7914278,-80.3836105,a28ee69d
28262_4ba22ce6_ikea_charlotte,4ba22ce6,ikea,IKEA,Charlotte,8300 IKEA Boulevard,,Charlotte,NC,28262,"8300 IKEA Boulevard Charlotte, NC 28262",35.29331,-80.7650357,1486ccd7
32839_72ced137_ikea_orlando,72ced137,ikea,IKEA,Orlando,4092 Eastgate Dr,,Orlando,FL,32839,"4092 Eastgate Dr Orlando, FL 32839",28.4829579,-81.4266415,73b6fd43
32256_7a6531c4_ikea_jacksonville,7a6531c4,ikea,IKEA,Jacksonville,7801 Gate Pkwy,,Jacksonville,FL,32256,"7801 Gate Pkwy Jacksonville, FL 32256",30.2374622,-81.5167824,b503ace8
33605_b37fce17_ikea_tampa,b37fce17,ikea,IKEA,Tampa,1103 N. 22nd Street,,Tampa,FL,33605,"1103 N. 22nd Street Tampa, FL 33605",27.9542754,-82.4316019,ff2fceea
43240_01f2d81a_ikea_columbus,01f2d81a,ikea,IKEA,Columbus,1900 IKEA Way,,Columbus,OH,43240,"1900 IKEA Way Columbus, OH 43240",40.1501367,-82.9667899,1c4cd453
48187_89967228_ikea_canton,89967228,ikea,IKEA,Canton,41640 Ford Road,,Canton,MI,48187,"41640 Ford Road Canton, MI 48187",42.3252624,-83.4513499,99a9ba9e
30363_6e054908_ikea_atlanta,6e054908,ikea,IKEA,Atlanta,441 16th Street,,Atlanta,GA,30363,"441 16th Street Atlanta, GA 30363",33.7888368,-84.4051193,c25da3b7
45069_f7b33192_ikea_west_chester,f7b33192,ikea,IKEA,West Chester,9500 IKEA Way,,West Chester,OH,45069,"9500 IKEA Way West Chester, OH 45069",39.3154678,-84.4339977,a580a945
46037_3a3ccf21_ikea_fishers,3a3ccf21,ikea,IKEA,Fishers,11400 IKEA Way,,Fishers,IN,46037,"11400 IKEA Way Fishers, IN 46037",39.9534162,-86.0073736,9a727bf0
53154_3a773c6e_ikea_oak_creek,3a773c6e,ikea,IKEA,Oak Creek,7500 S. IKEA Way,,Oak Creek,WI,53154,"7500 S. IKEA Way Oak Creek, WI 53154",42.9076915,-87.9386886,d7174bc5
60173_362b13c8_ikea_schaumburg,362b13c8,ikea,IKEA,Schaumburg,1800 East McConner Parkway,,Schaumburg,IL,60173,"1800 East McConner Parkway Schaumburg, IL 60173",42.0566646,-88.0365045,de8090c9
60440_6ebb61ab_ikea_bolingbrook,6ebb61ab,ikea,IKEA,Bolingbrook,750 E. Boughton,,Bolingbrook,IL,60440,"750 E. Boughton Bolingbrook, IL 60440",41.7280902,-88.037837,a4b6e8fa
